warehouse_name,tariff_date,geo_name,box_delivery_base,box_delivery_liter,box_delivery_coef_expr,box_delivery_marketplace_base,box_delivery_marketplace_liter,box_delivery_marketplace_coef_expr
Самара (Новосемейкино),2026-03-15,Приволжский федеральный округ,92.0,28.0,200.0,92.0,28.0,200.0
Волгоград,2026-03-15,Южный федеральный округ,50.6,15.4,110.0,50.6,15.4,110.0
Рязань (Тюшевское),2026-03-15,Центральный федеральный округ,55.2,16.8,120.0,55.2,16.8,120.0
Электросталь,2026-03-15,Центральный федеральный округ,73.6,22.4,160.0,73.6,22.4,160.0
Коледино,2026-03-15,Центральный федеральный округ,89.7,27.3,195.0,89.7,27.3,195.0
Самара (Новосемейкино),2026-03-12,Приволжский федеральный округ,92.0,28.0,200.0,92.0,28.0,200.0
Волгоград,2026-03-12,Южный федеральный округ,50.6,15.4,110.0,50.6,15.4,110.0
Рязань (Тюшевское),2026-03-12,Центральный федеральный округ,55.2,16.8,120.0,55.2,16.8,120.0
Электросталь,2026-03-12,Центральный федеральный округ,73.6,22.4,160.0,73.6,22.4,160.0
Коледино,2026-03-12,Центральный федеральный округ,89.7,27.3,195.0,89.7,27.3,195.0
Самара (Новосемейкино),2026-03-11,,92.0,28.0,,92.0,28.0,
Волгоград,2026-03-11,,,,,,,
Рязань (Тюшевское),2026-03-11,,,,,,,
Электросталь,2026-03-11,,,,,,,
Коледино,2026-03-11,,,,,,,
Самара (Новосемейкино),2026-03-08,Приволжский федеральный округ,92.0,28.0,200.0,92.0,28.0,200.0
Волгоград,2026-03-08,Южный федеральный округ,50.6,15.4,110.0,50.6,15.4,110.0
Рязань (Тюшевское),2026-03-08,Центральный федеральный округ,55.2,16.8,120.0,55.2,16.8,120.0
Электросталь,2026-03-08,Центральный федеральный округ,73.6,22.4,160.0,73.6,22.4,160.0
Коледино,2026-03-08,Центральный федеральный округ,89.7,27.3,195.0,89.7,27.3,195.0
